"ATSF1","EN","RU","AF"
"rsLanguage","English","Русский","Afrikaans"
"rsOK","OK","OK","Goed"
"rsCancel","Cancel","Отмена","Kanseleer"
"rsHelp","Help","Справка","Help"
"rsOpen","Open","Открыть","Maak oop"
"rsSave","Save","Сохранить","Stoor"
"rsCreate","Create","Создать",""
"rsChange","Change","Изменить",""
"rsFind","Find","Найти",""
"rsSearch","Search","Поиск",""
"rsReplace","Replace","Заменить",""
"rsConfirm","Confirm","Подтвердить",""
"rsAll","All","Все",""
"rsSelect","Select","Выбрать",""
"rsYes","Yes","Да",""
"rsNo","No","Нет","Nee"
"rsAbort","Abort","Прервать",""
"rsRetry","Retry","Повторить",""
"rsIgnore","Ignore","Пропустить",""
"rsClose","Close","Закрыть",""
"rsInsert","Insert","Вставка",""
"rsEdit","Edit","Редактировать",""
"rsDelete","Delete","Удалить",""
"rsExit","Exit","Выход",""
"rsYesToAll","Yes to All","Да для всех",""
"rsNoToAll","No to All","Нет для всех",""
"rsCut","Cut","Вырезать",""
"rsCopy","Copy","Копировать",""
"rsPaste","Paste","Вставить",""
"rsError","Error","",""
"rsCriticalError","Critical Error","",""
"rsInformation","Information","",""
"rsConfirmation","Confirmation","",""
"rsWarning","Warning","",""
"rsMessage","Message","",""
"rsAbout","About %s","",""
"rsAllFiles","All Files","",""
"rsCreateDirectory","Create directory","",""
"rsEnterNewDirectory","Enter new directory name","",""
"rsCannotCreateDir","Cannot create directory","",""
"rsSelectAFont","Select a font","",""
"rsName","Name","",""
"rsCollection","Collection","",""
"rsSize","Size","",""
"rsStyle","Style","",""
"rsItalic","Italic","",""
"rsBold","Bold","",""
"rsUnderScore","UnderScore","",""
"rsTypeface","Typeface","",""
"rsAntiAliasing","Anti aliasing","",""
"rsExampleText","Example Text","",""
"rsCollectionAllFonts","All Fonts","",""
"rsCollectionRecentlyUsed","Recently Used","",""
"rsCollectionFavourites","Favourites","",""
"rsCollectionFixedWidth","Fixed Width","",""
"rsCollectionSans","Sans","",""
"rsCollectionSerif","Serif","",""
"rsCollectionFontAliases","Font Aliases","",""
"rsOpenAFile","Open a file","",""
"rsFileName","Filename","",""
"rsFileType","Type of file","",""
"rsDrive","Drive","",""
"rsFiles","Files","",""
"rsDirectories","Directories","",""
"rsShowHidden","Show hidden files","",""
"rsFileSelection","File Selection","",""
"rsFileModifiedTime","Mod. Time","",""
"rsFileAttributes","Attributes","",""
"rsFileRights","Rights","",""
"rsFileOwner","Owner","",""
"rsFileGroup","Group","",""
"rsSaveAFile","Save file as","",""
"rsErrListMustBeEmpty","List must be empty","",""
"rsErrCouldNotOpenDir","Could not open the directory <%s>","",""
"rsErrItemOfWrongType","Item is not of <%s> type!","",""
"rsErrFailedToCreateDir","Failed to create the directory <%s>","",""
"rsErrNotAssigned","<%s> not assigned","",""
"rsShortMon","Mon","",""
"rsShortTue","Tue","",""
"rsShortWed","Wed","",""
"rsShortThu","Thu","",""
"rsShortFri","Fri","",""
"rsShortSat","Sat","",""
"rsShortSun","Sun","",""
"rsLongMon","Monday","",""
"rsLongTue","Tuesday","",""
"rsLongWed","Wednesday","",""
"rsLongThu","Thursday","",""
"rsLongFri","Friday","",""
"rsLongSat","Saturday","",""
"rsLongSun","Sunday","",""